y_test,y_pred
2.6,2.9083018
1.77,1.4517791
1.9,1.2746166
0.3,0.77656305
0.98,0.45099705
3.4,2.0022695
0.56,1.247953
0.75,1.2491037
0.1,0.423777
1.1,1.3607259
3.0,1.4160267
0.9,0.9855128
2.1,2.3566973
1.3,1.4172142
0.8,0.8495957
1.3,1.1804299
1.8,2.2735574
1.3,1.6252595
4.2,4.3127713
1.38,1.4316303
4.5,3.064614
1.61,0.738695
0.39,0.77371436
4.6,4.664554
1.1,1.3606135
0.85,1.2214168
0.55,0.83364105
1.13,1.0675842
0.8,1.2273262
3.6,2.4380558
0.77,1.0410906
2.7,1.9650018
1.16,1.0913043
1.7,1.3618569
1.6,1.479653
1.1,1.0744232
2.0,1.7352328
0.3,0.65273964
1.8,1.4071447
0.9,1.3459862
2.6,2.5520697
1.24,1.6472884
3.1,2.9529846
2.4,2.35209
1.8,1.3498747
0.6,0.529864
2.41,2.2562222
2.11,1.3123987
2.8,2.7809584
1.1,0.92672443
1.15,0.9810844
1.4,1.3322738
0.4,0.78255546
1.1,1.2316344
4.1,4.420203
0.59,0.8226963
1.4,1.6046469
1.37,0.95964575
1.4,1.03157
4.3,4.3140974
1.3,0.96445733
1.57,0.79865605
3.87,1.7879622
1.1,0.64285064
1.6,1.3657042
1.02,0.8357381
0.6,0.6203548
1.5,2.1589143
0.51,0.8086521
1.5,1.920961
0.51,1.1868713
1.6,2.2129653
1.13,1.4595962
1.2,0.8816897
2.1,2.5177352
1.6,1.4224062
4.3,4.5549707
1.6,1.2695506
3.1,3.3559575
1.8,1.8955519
1.48,1.203849
1.16,0.91340196
0.8,1.5561692
4.3,4.369441
2.9,1.9119176
3.1,2.9129298
1.2,1.1507957
2.6,2.673344
1.5,1.4131904
2.02,1.4627457
1.05,0.79190916
0.0,0.45772296
2.4,1.9244376
1.1,1.142752
2.8,2.5912807
1.1,1.3838273
1.2,1.2674428
1.94,0.77558446
0.81,1.2014903
1.3,1.4702889
0.9,1.1788174
0.45,0.65489376
3.2,2.890543
1.2,1.407572
4.2,4.451646
4.0,4.2942114
2.2,1.1483194
2.8,2.6104958
2.01,1.9172852
2.4,2.6745048
0.92,1.0722029
1.58,1.1367041
4.3,4.300085
1.4,1.6628058
2.3,2.1461194
0.55,0.6734573
3.2,2.7432485
0.8,1.1263862
2.7,2.8149052
0.99,1.2210287
0.9,0.8660212
2.1,2.2162528
4.7,4.516793
0.8,0.9832433
1.1,1.5280597
0.3,0.74661076
5.0,4.3395653
0.98,1.4098784
0.8,1.1811473
2.6,1.884324
2.5,1.1886393
0.54,1.1448712
1.6,1.9074739
0.3,0.43787304
2.7,2.7409482
1.7,1.6957173
0.1,0.64727604
1.65,1.434252
0.28,0.56612104
1.4,1.2864484
1.55,2.225581
4.4,4.3339047
4.2,4.3377876
0.32,0.64434373
1.9,2.1191344
0.98,0.9899477
0.7,0.6284909
1.03,1.0103163
4.3,4.420772
1.6,1.2391748
1.7,1.5193189
2.6,2.7777514
1.1,1.2935586
0.5,0.82395196
1.2,1.1961733
1.7,1.993112
1.66,1.6271187
0.74,1.1960281
2.8,2.7443304
1.49,1.2489303
0.49,0.698175
0.88,0.7832767
1.98,2.3854215
4.7,4.384023
4.4,4.509187
1.2,1.634394
1.3,1.4300168
1.64,1.3183354
1.0,1.3734691
5.6,4.8670316
0.18,1.15139
0.83,0.76164633
1.9,1.6694233
1.6,1.6441603
2.02,1.4479047
1.43,1.154337
1.12,1.3789175
4.1,4.1752086
4.7,4.3503637
2.3,1.333716
4.1,4.449017
1.1,1.6823405
2.2,1.6817608
4.8,4.679455
1.6,1.3475802
0.89,1.3141826
0.7,0.41887933
1.56,1.880633
4.8,4.545346
1.03,0.9131124
0.1,0.5647463
0.7,1.1657931
1.3,1.4271462
0.35,0.94140065
0.64,1.1192169
1.2,1.2979264
